benchmark,dp_hours,trial,phase1_hours,phase2_hours,total_hours,start_edges_after_10m,phase1_final_edges,final_edges,edges_at_14h,edge_total,phase1_edge_gain,phase2_edge_gain,total_edge_gain,phase2_edge_gain_per_hour,total_edge_gain_per_hour,phase1_final_data,phase1_data_gain,phase1_data_gain_per_hour,phase1_data_last_hour_rate,phase1_edge_last_hour_rate,phase1_final_corpus,phase1_corpus_gain,phase1_corpus_gain_per_hour,phase1_corpus_last_hour_rate,final_corpus,final_data
harfbuzz,2,1,1.9991666666666668,11.999722222222221,13.998888888888889,4335,4510,4745,4745,9735,175,235,410,19.583786661728283,29.64093501486063,39113,9214,5028.103683492496,1986.0,63.0,11997,5699,3109.9590723055935,1123.0,3734,25477
harfbuzz,2,2,1.9994444444444446,11.99861111111111,13.998055555555554,4369,4582,4770,4770,9735,213,188,401,15.668480148165298,28.992026991745828,43678,9072,4949.863595028796,3432.0,65.0,15567,6067,3310.275841163989,2448.0,3756,25218
harfbuzz,2,3,1.9966666666666668,11.999722222222221,13.996388888888887,4364,4520,4756,4756,9735,156,236,392,19.667121924118614,28.344748629160225,41705,6904,3772.677595628415,2277.0,61.0,13569,4023,2198.3606557377047,1404.0,3689,25075
harfbuzz,2,4,1.9997222222222222,11.996666666666666,13.996388888888887,4360,4504,4759,4759,9735,144,255,399,21.25590441789386,28.85090485468094,39736,7494,4088.255796332778,1357.0,56.0,12541,4856,2649.128655856948,966.0,3863,24759
harfbuzz,2,5,1.9994444444444446,11.996944444444443,13.996388888888887,4371,4521,4765,4765,9735,150,244,394,20.33851212114196,28.489364693594716,40900,8036,4384.601394361927,2161.0,72.0,12875,4933,2691.542891785389,1332.0,3868,24889
harfbuzz,2,6,1.996388888888889,11.998888888888889,13.995277777777778,4373,4527,4763,4763,9735,154,236,390,19.66848782294657,28.202398409095473,42683,7397,4042.690147259754,2498.0,65.0,14401,4644,2538.09017762259,1640.0,3900,25907
harfbuzz,2,7,1.9994444444444446,11.997499999999999,13.996944444444443,4384,4578,4765,4765,9735,194,187,381,15.586580537612004,27.54825363031995,43994,8468,4620.309184601394,2058.0,54.0,15154,5445,2970.900272809942,1512.0,3751,25750
harfbuzz,2,8,1.9994444444444446,11.996944444444443,13.996388888888887,4365,4510,4776,4776,9735,145,266,411,22.17231239435968,29.71860124128789,42192,9053,4939.4968172173385,2575.0,41.0,13863,5644,3079.478629887845,1505.0,3744,25232
harfbuzz,2,9,1.9997222222222222,11.99611111111111,13.995833333333334,4376,4490,4747,4747,9735,114,257,371,21.423609503079703,26.827357637842724,41148,6852,3738.0209122594333,2395.0,27.0,13482,4386,2392.726170631914,1415.0,3606,25444
harfbuzz,6,1,5.995277777777778,11.996666666666666,17.991944444444442,4363,4606,4775,4761,9735,243,169,412,14.087246457349265,23.113244300384913,45684,12255,2102.5592146022973,492.0,23.0,16294,7912,1357.441738550255,441.0,3682,25863
harfbuzz,6,2,5.994722222222222,11.996944444444443,17.991666666666667,4377,4670,4758,4748,9735,293,88,381,7.335201092870871,21.374474053295934,46598,12197,2092.8077784662314,673.0,29.0,17346,8107,1391.0299795052667,393.0,3643,26274
harfbuzz,6,3,5.999444444444444,11.998333333333333,17.997777777777777,4365,4649,4778,4766,9735,284,129,413,10.751493262953188,23.161764705882355,46096,11229,1925.154776645395,479.0,21.0,17345,7878,1350.6429183731784,380.0,3514,25584
harfbuzz,6,4,5.9991666666666665,11.99861111111111,17.997777777777777,4374,4658,4790,4779,9735,284,132,416,11.001273295520315,23.330009970089733,46565,12500,2143.163309044149,328.0,10.0,17295,8529,1462.323189027004,216.0,3533,25887
harfbuzz,6,5,5.998888888888889,11.995833333333332,17.994722222222222,4379,4651,4771,4759,9735,272,120,392,10.003473428273708,21.987815708698836,46551,12421,2129.719946656506,509.0,22.0,17185,8128,1393.6368832158507,446.0,3579,25876
harfbuzz,6,6,5.999722222222222,11.998888888888889,17.99861111111111,4378,4639,4783,4752,9735,261,144,405,12.001111214001297,22.712049225017527,46711,11823,2026.8965188818515,380.0,6.0,17339,8145,1396.3522072479643,303.0,3559,26319
harfbuzz,6,7,5.996666666666667,11.997499999999999,17.994166666666665,4360,4648,4767,4748,9735,288,119,407,9.918733069389457,22.829897630065915,46033,12639,2167.9245283018868,769.0,13.0,16659,8149,1397.7701543739279,495.0,3532,25867
harfbuzz,6,8,5.994166666666667,11.997222222222222,17.99138888888889,4369,4663,4777,4769,9735,294,114,408,9.50219958323686,22.889557262852783,47074,14651,2514.1141141141143,495.0,10.0,17515,9444,1620.5920205920206,392.0,3638,26326
harfbuzz,6,9,5.995555555555556,11.997777777777777,17.993333333333332,4361,4645,4777,4765,9735,284,132,416,11.00203741433599,23.335826477187737,45417,10833,1858.5017155928326,829.0,16.0,15982,6784,1163.8581776591689,575.0,3628,26357
harfbuzz,24,1,23.995833333333334,11.997222222222222,35.99305555555556,4367,4719,4786,4681,9735,352,67,419,5.584626070849734,11.695289784842023,49226,14471,607.280993180626,201.0,1.0,18831,9453,396.69872355306876,75.0,3279,27106
harfbuzz,24,2,23.994722222222222,11.998333333333333,35.99305555555556,4370,4736,4772,4712,9735,366,36,402,3.000416724545076,11.22077922077922,50557,17671,741.6047842762383,116.0,0.0,19438,11531,483.9253447733181,122.0,3177,28314
harfbuzz,24,3,23.999722222222225,11.994444444444444,35.99416666666667,4380,4752,4803,4732,9735,372,51,423,4.251968503937008,11.806573163073056,50032,14633,613.9791839065723,137.0,0.0,19221,9331,391.51505262299094,82.0,3208,26628
harfbuzz,24,4,23.99638888888889,11.997499999999999,35.99388888888889,4375,4736,4786,4704,9735,361,50,411,4.167534903104814,11.47172385988308,49259,16161,678.1866716402252,124.0,0.0,19078,10937,458.96464499283104,80.0,3205,25970
harfbuzz,24,5,23.992222222222225,11.998055555555554,35.99027777777778,4382,4715,4781,4691,9735,333,66,399,5.500891348135115,11.137905633311362,50821,16607,697.0246700554959,238.0,1.0,19416,10438,438.10101198526326,75.0,3180,27339
harfbuzz,24,6,23.998333333333335,11.999722222222221,35.99805555555555,4367,4728,4787,4697,9735,361,59,420,4.916780481029654,11.72156628654268,49523,15552,652.5771032939366,196.0,5.0,19232,10278,431.2749143296734,70.0,3264,27259
harfbuzz,24,7,23.99888888888889,11.999444444444444,35.998333333333335,4370,4733,4777,4697,9735,363,44,407,3.6668364276123895,11.358667845016045,50866,18093,759.1822462585669,61.0,0.0,19517,11657,489.1276982609912,54.0,3212,28607
harfbuzz,24,8,23.996666666666666,11.998888888888889,35.995555555555555,4348,4759,4821,4697,9735,411,62,473,5.167145106028336,13.201637412392234,49555,15772,661.8548048678138,293.0,7.0,18490,10125,424.8845992446496,98.0,3193,27269
harfbuzz,24,9,23.997222222222224,11.998333333333333,35.995555555555555,4380,4761,4787,4706,9735,381,26,407,2.1669676343936657,11.359548471128202,49055,14775,620.0023312740412,95.0,8.0,18833,9540,400.3263783657769,47.0,3220,26738
openthread,2,1,1.9991666666666668,11.997777777777777,13.996944444444445,4681,4713,4772,4772,40508,32,59,91,4.9175773291350255,6.579766615115788,46310,1193,651.0231923601636,650.0,12.0,2215,848,462.7557980900409,519.0,331,34944
openthread,2,2,1.9994444444444446,11.99611111111111,13.995555555555555,4652,4712,4765,4765,40508,60,53,113,4.418098457833557,8.17130001606942,46389,1434,782.4189148226735,470.0,4.0,2217,939,512.3370718399515,331.0,241,34450
openthread,2,3,1.9997222222222222,11.997222222222222,13.996944444444445,4621,4746,4777,4777,40508,125,31,156,2.583931465617041,11.279599911627065,46534,1471,802.4852250340962,251.0,12.0,2296,963,525.3523261100167,149.0,228,33524
openthread,2,4,1.9961111111111112,11.999444444444444,13.995555555555555,4655,4737,4763,4763,40508,82,26,108,2.166766979952776,7.8097380684557285,46503,1694,925.9641664136046,746.0,10.0,2330,1115,609.4746431825083,538.0,317,34752
openthread,2,5,1.9969444444444444,11.997222222222222,13.994166666666667,4678,4710,4741,4741,40508,32,31,63,2.583931465617041,4.556138130536973,46021,992,541.9942328122629,206.0,4.0,1808,462,252.42070116861439,132.0,162,32217
openthread,2,6,1.998888888888889,11.997777777777777,13.996666666666666,4590,4730,4764,4764,40508,140,34,174,2.8338581218744214,12.581344902386117,46447,1724,940.9338993329291,695.0,9.0,2312,1081,589.9939357186173,527.0,309,35599
openthread,2,7,1.9991666666666668,11.998888888888889,13.998055555555556,4671,4739,4774,4774,40508,68,35,103,2.916936753403093,7.446829875685337,46447,1312,715.9618008185539,554.0,17.0,2060,712,388.54024556616645,351.0,319,33961
openthread,2,8,1.9958333333333333,11.996666666666666,13.9925,4617,4740,4766,4766,40508,123,26,149,2.167268685746041,10.7769272497137,46835,1785,975.8542141230068,605.0,9.0,2492,1126,615.5808656036446,458.0,351,35736
openthread,2,9,1.996388888888889,11.996388888888887,13.992777777777777,4659,4698,4765,4765,40508,39,67,106,5.585014008845255,7.666653272793025,45742,595,325.18597236981935,221.0,0.0,1654,295,161.22665856991043,104.0,223,33317
openthread,6,1,5.998611111111111,11.997499999999999,17.99611111111111,4605,4770,4794,4792,40508,165,24,189,2.0004167534903106,10.600442464088744,47204,2307,395.57989997618483,172.0,1.0,2647,1351,231.65515598952135,84.0,338,35622
openthread,6,2,5.996388888888889,11.999444444444444,17.995833333333334,4673,4748,4779,4779,40508,75,31,106,2.5834529376360016,5.945314325777051,46963,1897,325.40143898603895,75.0,2.0,2541,1227,210.47315004526612,33.0,239,33180
openthread,6,3,5.998888888888889,11.999444444444444,17.998333333333335,4664,4759,4765,4762,40508,95,6,101,0.5000231492198713,5.664080755210767,46926,1837,314.97428081539346,73.0,0.0,2612,1234,211.58315869689466,36.0,197,33036
openthread,6,4,5.996666666666667,11.999722222222221,17.996388888888887,4583,4748,4762,4762,40508,165,14,179,1.1666936734646636,10.039416081137926,47187,2404,412.3499142367067,187.0,1.0,2613,1389,238.25042881646655,78.0,340,36294
openthread,6,5,5.998333333333333,11.99861111111111,17.996944444444445,4603,4764,4791,4791,40508,161,27,188,2.2502604468109735,10.543862655595197,47330,2236,383.42383538153763,264.0,2.0,2713,1345,230.63732494998573,118.0,377,35553
openthread,6,6,5.998611111111111,11.998333333333333,17.996944444444445,4697,4727,4761,4757,40508,30,34,64,2.833726906514794,3.5894000529685774,46984,1893,324.5915694212908,134.0,0.0,2501,1107,189.8166230054775,62.0,198,33501
openthread,6,7,5.997222222222223,11.997499999999999,17.994722222222222,4672,4748,4770,4761,40508,76,22,98,1.8337153573661182,5.496953927174709,47145,2066,354.34016198189613,65.0,1.0,2727,1369,234.79752262982373,21.0,303,34997
openthread,6,8,5.996388888888889,11.996666666666666,17.993055555555557,4687,4764,4777,4772,40508,77,13,90,1.0836343428730204,5.048694974678613,47164,2204,378.06261018725877,139.0,2.0,2735,1424,244.2654976890456,68.0,276,34493
openthread,6,9,5.995,11.998055555555554,17.993055555555554,4588,4732,4781,4781,40508,144,49,193,4.0839950917972825,10.826645890144139,47165,2302,394.9671146697169,191.0,1.0,2710,1457,249.9857020303117,131.0,234,33621
openthread,24,1,23.99638888888889,11.996666666666666,35.99305555555556,4690,4758,4789,4727,40508,68,31,99,2.584051125312587,2.7633262260127927,47761,2592,108.77172531968712,27.0,6.0,3025,1571,65.92607271498012,29.0,442,36504
openthread,24,2,23.996666666666666,11.999722222222221,35.99638888888889,4702,4779,4780,4778,40508,77,1,78,0.08333526239033312,2.176963569972168,48195,2987,125.34620226605121,50.0,0.0,3246,1838,77.12966848510281,9.0,259,33214
openthread,24,3,23.999444444444446,11.999444444444444,35.99888888888889,4689,4779,4791,4771,40508,90,12,102,1.0000462984397427,2.8465998945703737,48320,3047,127.84913401244783,19.0,1.0,3170,1806,75.77799016294085,18.0,301,35861
openthread,24,4,23.996111111111112,11.998888888888889,35.995000000000005,4613,4780,4780,4776,40508,167,0,167,0.0,4.661115504488998,48155,3117,130.8045601846455,29.0,0.0,3245,1854,77.80290490289791,22.0,310,34802
openthread,24,5,23.998055555555556,11.997499999999999,35.995555555555555,4661,4770,4782,4730,40508,109,12,121,1.0002083767451553,3.3771630589840598,47798,2705,113.5057638735095,22.0,3.0,2972,1597,67.0124602240276,12.0,347,35804
openthread,24,6,23.998055555555556,11.998333333333333,35.99638888888889,4587,4776,4778,4770,40508,189,2,191,0.166689818030282,5.330769767495949,48328,3421,143.55017309104474,60.0,2.0,3303,2015,84.55235275605236,36.0,189,33259
openthread,24,7,23.999444444444446,11.99611111111111,35.995555555555555,4675,4770,4784,4764,40508,95,14,109,1.1670448756541472,3.042237796936054,47882,2610,109.51304226205738,22.0,0.0,3032,1485,62.309144735308514,9.0,301,34639
openthread,24,8,23.99638888888889,11.996388888888887,35.992777777777775,4689,4757,4761,4754,40508,68,4,72,0.33343367216986597,2.009707382883372,48121,3031,127.19409700770512,14.0,0.0,3219,1849,77.59217597071817,10.0,182,34155
openthread,24,9,23.99638888888889,11.998333333333333,35.99472222222222,4575,4770,4773,4759,40508,195,3,198,0.25003472704542296,5.526395360556981,48131,3423,143.6441418862998,5.0,0.0,3290,2095,87.91541842004033,6.0,265,35536
